area	TotalPop2001	AverageRent2001	AverageValueofDwelling2001	TotalPop2006	AverageRent2006	  AverageValueofDwelling2006	  AverageValueofDwelling2016	AverageRent2016	TotalPop2016
Arbutus-Ridge	"14,515"	"1,124"	"525,087"	"16,145"	"1,198"	"903,780"	2500033	1688	"15,295"
Downtown	"27,990"	749	"260,460"	"43,415"	992	"563,128"	941493	1589	"62,030"
Dunbar-Southlands	"21,310"	"1,351"	"558,356"	"21,480"	"1,365"	"985,837"	3026785	1824	"21,425"
Fairview	"28,405"	887	"236,518"	"29,295"	987	"430,372"	761230	1341	"33,620"
Grandview-Woodland	"29,085"	640	"224,675"	"28,205"	715	"416,736"	899002	1041	"29,175"
Hastings-Sunrise	"33,045"	762	"305,075"	"33,130"	823	"548,064"	1266054	1103	"34,575"
Kensington-Cedar Cottage	"44,560"	751	"294,127"	"44,665"	790	"538,034"	1214877	1163	"49,325"
Kerrisdale	"14,035"	"1,077"	"659,204"	"14,615"	"1,249"	"1,115,764"	2879632	1504	"13,975"
Killarney	"25,785"	765	"291,332"	"27,180"	844	"502,674"	1097209	1094	"29,325"
Kitsilano	"39,620"	905	"367,510"	"40,595"	"1,041"	"642,914"	1327707	1472	"43,045"
Marpole	"22,415"	752	"402,146"	"23,785"	822	"654,299"	1695892	1113	"24,460"
Mount Pleasant	"24,535"	692	"198,301"	"23,615"	772	"404,175"	803459	1291	"32,955"
Oakridge	"11,795"	"1,064"	"534,190"	"12,725"	"1,253"	"883,621"	2414767	1494	"13,030"
Renfrew-Collingwood	"44,950"	768	"286,688"	"48,885"	811	"494,185"	1099509	1107	"51,530"
Riley Park	"21,990"	828	"337,817"	"21,815"	885	"635,018"	1695195	1361	"22,555"
Shaughnessy	"9,020"	"1,259"	"876,516"	"8,900"	"1,371"	"1,422,043"	3247312	1786	"8,430"
South Cambie	"6,995"	"1,039"	"424,386"	"7,070"	"1,077"	"737,285"	1907007	1500	"7,970"
Strathcona	"11,575"	421	"217,727"	"11,920"	500	"459,923"	845567	699	"12,585"
Sunset	"33,425"	750	"317,281"	"35,230"	784	"581,122"	1456880	1112	"36,500"
Victoria-Fraserview	"27,150"	779	"347,317"	"29,200"	861	"607,081"	1441615	1064	"31,065"
West End	"42,120"	809	"211,959"	"44,560"	908	"406,894"	670773	1308	"47,200"
West Point Grey	"12,680"	"1,075"	"645,496"	"12,990"	"1,114"	"1,078,609"	2830724	1524	"13,065"
Vancouver CSD (City of Vancouver)	"545,675"	796	"358,374"	"578,040"	898	"628,682"	1414191	1296	"631,485"
Vancouver CMA  (Metro Vancouver)	"1,986,965"	814	"294,847"	"2,116,580"	893	"520,937"	1005920	1242	"2,463,430"
